month,Fox
2021-01,-0.44495428996131536
2021-02,-0.7195390155914487
2021-03,0.0262582246923369
2021-04,-0.3446932287850208
2021-05,-0.4236832039535383
2021-06,-0.1715837533015553
2021-07,-0.4487731792925007
2021-08,-0.41629357184812066
2021-09,-0.0012649326602665746
2021-10,-0.1007860898584125
2021-11,-0.43157447839151186
2021-12,-0.0475279405465701
2022-01,-0.233839216146218
2022-02,-0.1786314461275171
2022-03,-0.3707843093392227
2022-04,-0.00765157573371575
2022-05,-0.07519516010508841
2022-06,-0.4291812739311077
2022-07,0.0313723500750451
2022-08,-0.510119120655044
2022-09,-0.4901962637783115
2022-10,-0.4906200569547021
2022-11,-0.3333336524419368
2022-12,-0.530226575417001
2023-01,-0.509617750450882
2023-02,-0.43942055948341463
2023-03,-0.41422593005161246
